Array Size ,Strided Store,strided Load,loop unroll and jam
10,28.6781,28.547,64.0165
20,26.1113,26.1595,62.4181
30,27.9253,29.28,65.9697
40,28.0979,27.9458,66.4849
60,25.9498,29.3786,35.9779
70,29.1674,33.2828,36.6758
100,27.0395,30.7264,35.3651
120,29.7988,30.4647,40.164
130,26.7603,32.1418,40.4226
150,26.7044,32.6221,40.7339
180,21.13,32.2049,38.8533
200,27.2312,27.8315,40.1754
220,22.3299,30.7026,33.3553
250,22.8519,32.7036,37.6925
280,27.2367,28.7104,39.016
300,21.8827,30.8602,34.1618
400,13.2031,24.2438,41.378
500,15.9906,29.7187,35.2245
750,14.0097,22.3505,24.2002
850,14.1022,22.2923,28.2156
900,13.234,18.0451,27.9077
1000,14.0864,14.7539,27.4557
1300,10.6967,12.5045,19.5659
1500,9.14836,10.9475,17.425
1900,9.09986,10.3172,16.904
2300,9.00946,10.1182,16.0305
2700,7.56253,10.1019,17.3181
2800,5.26395,7.17658,17.0124
2900,7.57288,10.0312,15.6997
