processor name,	cores,	frequency,	generation	
i9-14900KS,	24,	6.20,	14th
i9-14900F,	24,	5.80,	14th
i9-14900,	24,	5.80,	14th
i9-14900T,	24,	5.50,	14th
i7-14700F,	20,	5.40,	14th
i7-14700T,	20,	5.20,	14th
i7-14700,	20,	5.40,	14th
i5-14600,	14,	5.20,	14th
i5-14400T,	10,	4.50,	14th
i5-14400,	10,	4.70,	14th
i5-14500,	14,	5.00,	14th
i5-14600T,	14,	5.10,	14th
i5-14500T,	14,	4.80,	14th
i5-14400F,	10,	4.70,	14th
i3-14100F,	4,	4.70,	14th
i3-14100T,	4,	4.40,	14th
i3-14100,	4,	4.70,	14th
i9-14900K,	24,	6.00,	14th
i9-14900KF,	24,	6.00,	14th
i7-14700K,	20,	5.60,	14th
i7-14700KF,	20,	5.60,	14th
i5-14600K,	14,	5.30,	14th
i5-14600KF,	14,	5.30,	14th
i9-13900KS,	24,	6.00,	13th
i9-13900F,	24,	5.60,	13th
i9-13900,	24,	5.60,	13th
i9-13900T,	24,	5.30,	13th
i7-13700F,	16,	5.20,	13th
i7-13700,	16,	5.20,	13th
i7-13700T,	16,	4.90,	13th
i5-13600,	14,	5.00,	13th
i5-13600T,	14,	4.80,	13th
i5-13500,	14,	4.80,	13th
i5-13500T,	14,	4.60,	13th
i5-13400F,	10,	4.60,	13th
i5-13400,	10,	4.60,	13th
i5-13400T,	10,	4.40,	13th
i9-13900K,	24,	5.80,	13th
i9-13900KF,	24,	5.80,	13th
i7-13700K,	16,	5.40,	13th
i7-13700KF,	16,	5.40,	13th
i5-13600K,	14,	5.10,	13th
i5-13600KF,	14,	5.10,	13th
i3-13100,	4,	4.50,	13th
i3-13100F,	4,	4.50,	13th
i3-13100T,	4,	4.20,	13th
i9-12900KS,	16,	5.50,	12th
i9-12900K,	16,	5.20,	12th
i9-12900KF,	16,	5.20,	12th
i9-12900F,	16,	5.10,	12th
i9-12900,	16,	5.10,	12th
i7-12700,	12,	4.90,	12th
i7-12700F,	12,	4.90,	12th
i9-12900T,	16,	4.90,	12th
i7-12700K,	12,	5.00,	12th
i7-12700KF,	12,	5.00,	12th
i5-12600,	6,	4.80,	12th
i5-12400,	6,	4.40,	12th
i5-12400F,	6,	4.40,	12th
i7-12700T,	12,	4.70,	12th
i5-12400T,	6,	4.20,	12th
i5-12500,	6,	4.60,	12th
i5-12500T,	6,	4.40,	12th
i5-12600K,	10,	4.90,	12th
i5-12600KF,	10,	4.90,	12th
i3-12300,	4,	4.40,	12th
i3-12100,	4,	4.30,	12th
i3-12100F,	4,	4.30,	12th
i5-12600T,	6,	4.60,	12th
i3-12300T,	4,	4.20,	12th
i3-12100T,	4,	4.10,	12th
i7-11700,	8,	4.90,	11th
i9-11900T,	8,	4.90,	11th
i9-11900KF,	8,	5.20,	11th
i9-11900K,	8,	5.30,	11th
i9-11900F,	8,	5.20,	11th
i9-11900,	8,	5.20,	11th
i7-11700T,	8,	4.60,	11th
i7-11700KF,	8,	5.00,	11th
i7-11700K,	8,	5.00,	11th
i7-11700F,	8,	4.90,	11th
i5-11600T,	6,	4.10,	11th
i5-11600KF,	6,	4.90,	11th
i5-11600K,	6,	4.90,	11th
i5-11600,	6,	4.80,	11th
i5-11500T,	6,	3.90,	11th
i5-11500,	6,	4.60,	11th
i5-11400F,	6,	4.40,	11th
i3-10325,	4,	4.70,	10th
i3-10305T,	4,	4.00,	10th
i3-10305,	4,	4.50,	10th
i3-10105T,	4,	3.90,	10th
i3-10105,	4,	4.40,	10th
